zip,count
12524,6
12525,4
12528,7
12529,1
12531,4
12533,9
12534,7
12538,3
12540,2
12543,1
12545,2
12546,2
12547,4
12549,5
12550,18
12553,8
12561,13
12563,5
12564,5
12566,4
12569,4
12570,1
12571,6
12572,2
12578,1
12580,2
12581,1
12582,1
12585,1
12586,7
12589,6
12590,17
12594,1
12601,7
12603,13
12701,4
12721,2
12729,1
12737,1
12754,4
12758,1
12760,1
12762,1
12764,1
12767,1
12768,1
12771,3
12775,1
12777,1
12778,1
12780,2
12783,1
12785,1
12786,1
12790,2
12791,1
12801,7
12803,1
12804,5
12809,1
12814,1
12816,2
12817,2
12824,1
12827,3
12828,2
12830,1
12831,10
12832,2
12833,1
12834,7
12839,3
12842,2
12845,2
12846,1
12850,3
12856,1
12863,1
12865,1
12866,21
12871,1
12883,3
12885,1
12901,9
12910,1
12912,1
12913,2
12918,2
12919,1
12920,1
12921,1
12928,2
12932,1
12943,1
12944,1
12946,7
12947,1
12953,2
12956,3
12962,3
12966,1
12972,2
12979,1
12983,6
12986,1
12989,1
12992,1
12993,1
12996,1
1300,1
1300022,1
130209,1
13021,12
13026,1
13027,25
13029,2
13031,7
13032,7
13035,5
13036,2
13037,5
13039,8
13040,1
13041,11
13044,3
13045,7
13052,2
13053,2
13057,8
13060,1
13063,2
13066,7
13068,3
13069,8
13071,1
13077,2
13078,11
13080,3
13081,1
13082,3
13083,1
13084,3
13088,17
13090,16
13104,7
13108,4
13114,2
13116,1
13118,3
13122,1
13126,6
13131,1
13132,1
13135,3
13142,1
13143,1
13144,2
13145,1
13148,4
13152,7
13159,3
13160,2
13164,1
13165,3
13166,1
13167,2
13202,1
13203,6
13204,3
13205,2
13206,4
13207,3
13208,4
13210,9
13212,4
13214,2
13215,9
13219,4
13224,8
13225,1
13244,1
1330056,1
13302,2
13304,3
13308,5
13309,4
13317,1
13322,1
13323,5
13324,1
13326,2
13328,3
13339,2
13340,5
13346,5
13350,5
13354,1
13355,1
13357,2
13365,2
13402,1
13403,2
13406,1
13409,3
13413,14
13417,2
13420,3
13421,7
13424,1
13425,1
13431,1
13438,3
13439,1
13440,16
13442,1
13452,1
13456,3
13459,2
13461,3
13467,1
13476,3
13477,1
13480,2
13486,1
13490,1
13491,1
13492,7
13493,2
13495,1
13501,7
13502,11
13519,1
13528,1
13601,15
13603,4
13605,2
13606,1
13607,5
13611,1
13615,2
13617,8
13619,2
13620,2
13622,1
13624,2
13625,1
13637,2
13638,1
13640,2
13642,3
13648,1
13650,2
13654,1
13656,2
13660,1
13661,1
13662,5
13667,2
13668,3
13669,3
13673,1
13674,1
13676,5
13679,1
13685,2
13691,1
13694,1
13732,4
13736,2
13740,1
13743,2
13744,1
13746,1
13748,2
13753,1
13754,1
13760,17
13761,1
13775,2
13776,1
13782,2
13786,1
13787,1
13790,4
13797,1
138,1
13807,1
13809,1
13815,2
13820,11
13825,3
13827,2
13832,1
13839,2
13842,1
13850,12
13851,1
13856,1
13862,3
13865,1
13901,9
13903,4
13904,2
13905,7
140,1
14001,3
14004,2
14005,1
14006,2
14008,1
14011,2
14012,1
14020,5
14025,3
14030,1
14031,5
14032,7
14033,3
14034,1
14036,1
14043,3
14047,1
14048,4
14051,10
14052,9
14054,1
14057,7
14058,1
14059,2
14062,1
14063,2
14068,2
14070,1
14072,8
14075,15
14080,2
14085,1
14086,14
14092,3
14094,13
14095,1
14103,4
14108,1
14111,2
14120,17
14123,1
14125,2
14127,10
14131,2
14136,2
14139,1
14141,2
14143,1
14150,3
14170,2
14172,1
14174,4
1419,1
14201,3
14203,1
14204,1
14209,4
14210,3
14213,4
14214,4
14215,1
14216,9
14217,3
14218,5
14219,2
